,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,text,twitter_text,text_Description14,twitter_text_Description14,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,text_sentence,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,twitter_text_sentence
0,2017-01-02,RELIANCE,EQ,1082.4,1084.0,1090.0,1072.35,1086.7,1085.1,1086.63,1622458,,,,,,,,,,,,,,,,,,
1,2017-01-03,RELIANCE,EQ,1085.1,1089.85,1097.0,1081.1,1089.0,1089.4,1091.74,1470751,,,,,,,,,,,,,,,,,,
2,2017-01-04,RELIANCE,EQ,1089.4,1092.9,1093.0,1064.3,1067.15,1067.15,1072.39,2375547,RELIANCE INDUSTRIES: Filing stations run by the company have begun offering diesel at a discount of 1 rupee to the price offered by pumps run by state-run companies.,,reliance industries filing stations run by the company have begun offering diesel at a discount of 1 rupee to the price offered by pumps run by state run companies.,,0.0,0.0,0.0,1.0,0.0,0.0,reliance industries filing stations run by the company have begun offering diesel at a discount of 1 rupee to the price offered by pumps run by state run companies.,,,,,,,
3,2017-01-05,RELIANCE,EQ,1067.15,1071.0,1079.9,1068.75,1077.0,1077.4,1077.12,1996483,,,,,,,,,,,,,,,,,,
4,2017-01-06,RELIANCE,EQ,1077.4,1074.2,1085.0,1073.1,1073.95,1074.95,1078.77,1793427,,,,,,,,,,,,,,,,,,
5,2017-01-09,RELIANCE,EQ,1074.95,1077.0,1086.0,1071.0,1078.0,1077.7,1079.41,1195257,,,,,,,,,,,,,,,,,,
6,2017-01-10,RELIANCE,EQ,1077.7,1080.0,1094.4,1080.0,1088.0,1089.85,1089.83,2594400,,,,,,,,,,,,,,,,,,
7,2017-01-11,RELIANCE,EQ,1089.85,1095.0,1095.7,1084.0,1084.8,1086.05,1087.58,2623211,,,,,,,,,,,,,,,,,,
8,2017-01-12,RELIANCE,EQ,1086.05,1087.0,1090.35,1079.8,1080.45,1083.3,1084.63,999364,"RELIANCE INDUSTRIES: The company is set to launch low-cost 4G voice over LTE feature phones that will allow free phone calls.,RELIANCE INDUSTRIES: The oil ministry has sought legal advice on whether it should recover $1.55 bln from the company for alleged production of gas from the basin it shares with OIL AND NATURAL GAS CORP. ",,reliance industries the company is set to launch low cost 4g voice over lte feature phones that will allow free phone calls. reliance industries the oil ministry has sought legal advice on whether it should recover 1.55 bln from the company for alleged production of gas from the basin it shares with oil and natural gas corp. ,,1.0,1.0,0.08,1.56,0.36,1.1136,reliance industries the company is set to launch low cost 4g voice over lte feature phones that will allow free phone calls.reliance industries the oil ministry has sought legal advice on whether it should recover 1.55 bln from the company for alleged production of gas from the basin it shares with oil and natural gas corp.,,,,,,,
9,2017-01-13,RELIANCE,EQ,1083.3,1084.55,1097.5,1084.55,1089.95,1090.4,1091.91,1653669,,,,,,,,,,,,,,,,,,
10,2017-01-16,RELIANCE,EQ,1090.4,1089.95,1093.95,1073.95,1076.7,1076.25,1078.39,2746005,,,,,,,,,,,,,,,,,,
